psi_n,dT_dpsi_native_N_m,two_n_delta_W_native,T_cumulative_native_N_m,two_n_delta_W_cumulative_native,dV_dpsi_n_native
0.765294864,-2.34960142,59126.4985,115.399288,27045.3312,991.978125
0.766157201,-2.47927901,59259.6786,115.39719,27096.376,993.243754
0.767164543,-2.4220214,59410.3466,115.394708,27156.1469,994.726795
0.769005686,-1.82589294,59677.8415,115.39069,27265.7774,997.450523
0.771425432,-0.351322697,60021.269,115.387963,27410.5992,1001.05702
0.775002384,2.0246,60522.9227,115.391041,27626.1908,1006.44701
0.781008836,3.07811104,61363.3832,115.409065,27992.2415,1015.66639
0.78823004,2.00705527,62372.0972,115.426337,28439.0052,1027.04043
0.796282941,2.54724988,63533.4179,115.443701,28945.9035,1040.11138
0.804335842,3.26426733,64775.7464,115.467837,29462.4793,1053.61384
0.813210343,3.74066219,66230.8892,115.498489,30043.7277,1069.03083
0.820395331,4.11126143,67516.2545,115.526997,30524.125,1081.91816
0.825638841,4.25653528,68564.0486,115.548885,30880.8454,1091.56298
0.8293864,4.53428548,69406.8415,115.565274,31139.3387,1098.58945
0.832172723,4.64788331,70121.7492,115.578156,31333.7022,1103.88834
0.834080153,5.09281904,70686.5551,115.587287,31467.9797,1107.55342
0.835481493,5.04953696,71156.3809,115.594565,31567.3593,1110.26609
0.836421691,6.91687619,71525.1858,115.599816,31634.4279,1112.0959
0.83709139,7.32395866,71774.956,115.604878,31682.4163,1113.40418
0.837511022,17.7926951,71928.8359,115.609318,31712.5661,1114.22606
0.83776727,33.0521281,71784.2148,115.615763,31730.9899,1114.72875
0.837839153,52.7954697,71701.7384,115.618669,31736.1467,1114.86988
0.83785129,57.8232681,71683.2693,115.619342,31737.0168,1114.89371
0.83790513,85.2431915,71540.5378,115.623114,31740.8726,1114.99945
0.837970697,160.976519,71313.1833,115.630841,31745.5561,1115.12826
0.838031233,382.583963,71497.8834,115.646057,31749.8745,1115.24722
0.838070668,811.64092,73806.084,115.668258,31752.7269,1115.32473
0.838100201,1302.99068,79631.8892,115.699402,31754.9796,1115.38279
0.83812429,1388.35195,84827.883,115.733138,31756.9673,1115.43015
0.838146826,1049.97903,85417.6748,115.761028,31758.8956,1115.47447
0.838169361,677.548355,83003.3043,115.780206,31760.7947,1115.51879
0.83819662,404.458235,80067.1526,115.794568,31763.0154,1115.5724
0.838228087,242.680921,77672.2511,115.804459,31765.4944,1115.6343
0.838267967,144.292559,75774.052,115.811933,31768.551,1115.71276
0.838323855,82.4246618,74212.3815,115.818035,31772.7381,1115.82275
0.838387746,51.7194217,73179.2151,115.822199,31777.4439,1115.94852
0.83848901,30.8823336,72224.86,115.826217,31784.8013,1116.14793
0.838613077,21.4554848,71559.6651,115.829377,31793.7174,1116.39239
0.83878275,19.0381279,71004.9082,115.832679,31805.8084,1116.72694
0.838982694,23.9170271,70584.4716,115.836901,31819.9607,1117.12154
0.839177309,77.171539,70240.3792,115.845233,31833.6645,1117.50599
0.839278723,231.414808,69941.3859,115.859151,31840.7746,1117.70647
0.839336413,786.35012,68670.665,115.884576,31844.7827,1117.82056
0.839372357,1498.40128,66257.251,115.924969,31847.2135,1117.89166
0.83940154,1492.30347,65474.6415,115.971891,31849.1261,1117.94939
0.839425119,970.471251,66716.5966,116.000814,31850.6835,1117.99605
0.839450986,563.121299,68027.5418,116.020071,31852.4278,1118.04724
0.839481433,328.053491,68872.7295,116.033199,31854.5133,1118.1075
0.83952519,178.927946,69461.578,116.043821,31857.5415,1118.19412
0.839575602,108.511884,69761.4332,116.050838,31861.0517,1118.29393
0.839658194,60.3842295,69982.5786,116.057499,31866.8238,1118.45752
0.839759097,38.2419462,70099.4232,116.062327,31873.8918,1118.65746
0.839896623,25.494958,70184.8569,116.066585,31883.5387,1118.93013
0.840098215,18.001354,70263.051,116.070861,31897.6958,1119.33017
0.840331841,14.3940462,70332.5237,116.074593,31914.1193,1119.79427
0.840734155,11.7834229,70435.7889,116.079773,31942.4363,1120.59474
0.841236275,10.6009125,70552.3017,116.085353,31977.8332,1121.59607
0.841938006,9.96225553,70703.9374,116.092527,32027.3957,1122.99972
0.843004471,9.73410652,70918.5406,116.102992,32102.9148,1125.14257
0.844253303,9.73868452,71154.0034,116.115146,32191.6286,1127.66665
0.846556742,9.90866568,71562.1068,116.137731,32356.0027,1132.36401
